Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,436157,0.042039,434991,0.054870,439728,0.035993,443318,0.039669,439730,0.045147,441409,0.049024,442357,0.046758,434172,0.041637,433703,0.062932,440030,0.072064,438559,0.049100,433703,443318
--first,--transpose,--srz,390284,0.061394,390284,0.060651,390284,0.056512,390284,0.056995,390284,0.060502,390284,0.057332,390284,0.057819,390284,0.055538,390284,0.054896,390284,0.052499,390284,0.057500,390284,390284
--first,--exchange,--random-init,388397,5.141198,386809,5.289456,389067,5.727433,392409,5.094867,398296,4.136696,391104,5.165298,388211,4.008616,392450,3.954781,386355,7.693230,390925,6.208093,390402,5.241900,386355,398296
--first,--exchange,--srz,387784,0.327824,387784,0.302711,387784,0.292241,387784,0.312883,387784,0.300771,387784,0.294903,387784,0.311272,387784,0.312703,387784,0.295588,387784,0.290377,387784,0.304200,387784,387784
--first,--insert,--random-init,420597,0.303764,428812,0.328623,445669,0.166785,414920,0.938459,433393,0.194629,427193,0.483524,433652,0.232761,412758,0.638590,420642,0.675003,444805,0.216639,428244,0.418100,412758,445669
--first,--insert,--srz,391544,0.137833,391544,0.140423,391544,0.139056,391544,0.138101,391544,0.141383,391544,0.138322,391544,0.137230,391544,0.140810,391544,0.135618,391544,0.136742,391544,0.138500,391544,391544
--best,--transpose,--random-init,439056,0.102970,443660,0.083281,435068,0.061864,446865,0.080818,441350,0.095278,435051,0.113929,443887,0.092518,457777,0.073731,445452,0.102171,441452,0.077203,442961,0.088400,435051,457777
--best,--transpose,--srz,390547,0.062512,390547,0.061301,390547,0.073535,390547,0.069006,390547,0.064203,390547,0.066308,390547,0.064168,390547,0.065917,390547,0.066024,390547,0.062505,390547,0.065600,390547,390547
--best,--exchange,--random-init,458289,0.137843,441850,0.262477,448176,0.453047,432468,0.427723,467970,0.092192,454345,0.177443,455171,0.257774,441788,0.436387,445763,0.641931,427911,0.517817,447373,0.340400,427911,467970
--best,--exchange,--srz,391327,0.138491,391327,0.139763,391327,0.145566,391327,0.143197,391327,0.137918,391327,0.147924,391327,0.202719,391327,0.197522,391327,0.173175,391327,0.169759,391327,0.159700,391327,391327
--best,--insert,--random-init,458996,0.284981,457516,0.691980,439672,1.664844,447631,0.745203,447726,0.371313,469773,0.466359,459376,0.683098,473149,0.990851,461616,0.378238,467137,0.767649,458259,0.704400,439672,473149
--best,--insert,--srz,392667,0.675059,392667,0.749862,392667,0.710912,392667,0.575997,392667,0.507370,392667,0.771486,392667,0.657116,392667,0.554389,392667,0.540789,392667,0.545109,392667,0.628700,392667,392667
