Pivot,Neighborhood,Init,Run1_Cost,Run1_Time,Run2_Cost,Run2_Time,Run3_Cost,Run3_Time,Run4_Cost,Run4_Time,Run5_Cost,Run5_Time,Run6_Cost,Run6_Time,Run7_Cost,Run7_Time,Run8_Cost,Run8_Time,Run9_Cost,Run9_Time,Run10_Cost,Run10_Time,Avg_Cost,Avg_Time,Min_Cost,Max_Cost
--first,--transpose,--random-init,453213,0.070762,448642,0.055739,451980,0.049738,458149,0.038027,456221,0.047237,447738,0.050896,447798,0.059985,447105,0.044020,456431,0.050039,455811,0.062041,452308,0.052900,447105,458149
--first,--transpose,--srz,404569,0.055156,404569,0.056243,404569,0.052488,404569,0.052818,404569,0.048655,404569,0.050010,404569,0.050045,404569,0.049123,404569,0.047640,404569,0.048469,404569,0.051000,404569,404569
--first,--exchange,--random-init,392268,5.226136,390522,6.603488,391300,5.701406,390124,5.504081,391118,7.191388,390588,7.283317,391007,6.478448,388920,6.794812,390732,5.331809,389370,6.072346,390594,6.218500,388920,392268
--first,--exchange,--srz,394218,2.534237,394218,2.465606,394218,2.554306,394218,2.652685,394218,2.524517,394218,2.401321,394218,2.424793,394218,2.444174,394218,2.402434,394218,2.441978,394218,2.484600,394218,394218
--first,--insert,--random-init,394629,13.273548,393237,11.859272,388927,14.001218,393873,12.941063,392989,10.907726,391292,11.799863,392041,11.873121,390322,11.481676,396663,8.776338,392480,13.871324,392645,12.078500,388927,396663
--first,--insert,--srz,390471,6.521824,390471,6.634341,390471,6.320248,390471,6.154322,390471,6.153712,390471,6.251484,390471,6.338320,390471,5.990382,390471,6.011455,390471,5.941791,390471,6.231600,390471,390471
--best,--transpose,--random-init,435572,0.158489,456944,0.108322,454462,0.142546,448616,0.108325,454778,0.099788,435001,0.115843,450905,0.098578,439380,0.095959,447948,0.126795,443943,0.139882,446754,0.119500,435001,456944
--best,--transpose,--srz,404172,0.054538,404172,0.062608,404172,0.053615,404172,0.055474,404172,0.053127,404172,0.053303,404172,0.053476,404172,0.052393,404172,0.055841,404172,0.053870,404172,0.054800,404172,404172
--best,--exchange,--random-init,398038,2.498383,396374,3.165093,397563,2.362765,395437,3.198854,399761,2.461303,401846,2.230845,397914,2.451095,401967,2.747610,398807,2.585867,400202,2.047877,398790,2.575000,395437,401967
--best,--exchange,--srz,397005,0.869889,397005,0.916650,397005,0.876512,397005,0.948290,397005,0.884396,397005,0.863476,397005,0.893116,397005,0.980806,397005,0.952823,397005,0.907565,397005,0.909400,397005,397005
--best,--insert,--random-init,399261,5.028338,403422,4.454595,393577,6.447864,395780,6.166985,395165,7.040284,397804,6.613070,395897,5.945895,395726,4.837998,397338,5.516793,400138,4.953072,397410,5.700500,393577,403422
--best,--insert,--srz,395183,2.895288,395183,2.732226,395183,2.593598,395183,2.515429,395183,2.563535,395183,2.551560,395183,2.516629,395183,2.498757,395183,2.588794,395183,2.504714,395183,2.596200,395183,395183
