Algorithm,Mode1,Mode2,Mode3,Cost,Time
Iterative_algo,1,1,1,1443621,1
Iterative_algo,1,1,2,1286622,0
Iterative_algo,1,2,1,1251559,149
Iterative_algo,1,2,2,1256383,36
Iterative_algo,1,3,1,1322091,143
Iterative_algo,1,3,2,1258970,29
Iterative_algo,2,1,1,1451032,2
Iterative_algo,2,1,2,1286181,0
Iterative_algo,2,2,1,1284576,1474
Iterative_algo,2,2,2,1266880,78
Iterative_algo,2,3,1,1289957,29733
Iterative_algo,2,3,2,1274804,47
VND1,1,0,1,1252545,148
VND1,1,0,2,1255311,34
VND1,2,0,1,1296290,1030
VND1,2,0,2,1262069,89
VND2,1,0,1,1271675,145
VND2,1,0,2,1260980,34
VND2,2,0,1,1277920,1128
VND2,2,0,2,1270666,98
